Chapter Name,Chapter Type,Email
Ventura County Alumnae,Alumnae,AOIIVenturaCountyAlums@gmail.com
Xi Rho – Sonoma State University,Collegiate,
"Zeta Theta – California State University, Chico",Collegiate - Closed,
Calgary Alumnae,Alumnae,aoiicalgary@gmail.com
Kappa Lambda – University of Calgary,Collegiate,
Beta Kappa – University of British Columbia,Collegiate,
Greater Vancouver Region Alumnae,Alumnae,marji1919@gmail.com
Sea to Sky Alumnae,Alumnae,seatoskyac@gmail.com
Beta Tau – University of Toronto,Collegiate,
Gamma Chi – Carleton University,Collegiate,
Iota Chi – University of Western Ontario,Collegiate,
Lambda Epsilon – University of Waterloo,Collegiate,
Ottawa Alumnae,Alumnae,ottawaaoiialum@gmail.com
Toronto Area Alumnae,Alumnae,toronto.alumnae@gmail.com
Kappa Phi – McGill University,Collegiate,
Montreal Alumnae,Alumnae,aoiimontreal@gmail.com
Chi Delta – University of Colorado Boulder,Collegiate - Closed,
Denver Alumnae,Alumnae,denveraoiialums@gmail.com
Epsilon Gamma – University of Northern Colorado,Collegiate,
Central Connecticut Alumnae,Alumnae,
Lambda Lambda – University of Connecticut,Collegiate,
Delaware Alumnae,Alumnae,
Delta Chi – University of Delaware,Collegiate - Closed,
Alpha Beta – Florida Atlantic University,Collegiate - Closed,
Alpha Pi – Florida State University,Collegiate,
Fort Lauderdale Alumnae,Alumnae,cmkiley913@aol.com
Gamma Omicron – University of Florida,Collegiate,
Gamma Theta – University of South Florida,Collegiate,
Gamma Upsilon – St. Leo University,Collegiate - Closed,
Greater Pinellas Alumnae,Alumnae,AOIIGPAC@gmail.com
Kappa Gamma – Florida Southern College,Collegiate - Closed,
Mu Lambda – Rollins College,Collegiate,
Orlando Area Alumnae,Alumnae,aoiiorlandoareaalumnae@gmail.com
Palm Beach County Alumnae,Alumnae,pbaopialum@gmail.com
Pi Theta – Florida International University,Collegiate,
Sarasota Area Alumnae,Alumnae,sarasotaaoii@gmail.com
Tallahassee Alumnae,Alumnae,
Tampa Bay Alumnae,Alumnae,chlorinehead17@yahoo.com
Alpha Lambda – Georgia Southern University,Collegiate,
Athens Alumnae,Alumnae,aoiiathensalums@gmail.com
Atlanta Alumnae,Alumnae,atlaopi@yahoo.com
Beta Zeta – Kennesaw State University,Collegiate,
Delta Lambda – Columbus State University,Collegiate,
Gamma Sigma – Georgia State University,Collegiate,
Lambda Chi – LaGrange College,Collegiate,
Lambda Delta – Dalton State College,Collegiate,
Lambda Sigma – University of Georgia,Collegiate,
Northwest Georgia Alumnae,Alumnae,kangelo@coca-cola.com
Phi Gamma – Georgia College,Collegiate,
Alpha Theta – Coe College,Collegiate,
Eastern Iowa Alumnae,Alumnae,
Iota Sigma – Iowa State University,Collegiate,
Nu Sigma – Parsons College,Collegiate - Closed,
Theta Chi – Morningside College,Collegiate,
Beta Sigma – Boise State University,Collegiate,
Iota Alpha – Idaho State University,Collegiate - Closed,
Pocatello Alumnae,Alumnae,
Treasure Valley Alumnae,Alumnae,TVACPresident@gmail.com
Beta Lambda – Illinois Wesleyan University,Collegiate - Closed,
Beta Nu – Illinois State University,Collegiate,
Bloomington-Normal Alumnae,Alumnae,sguessh@aol.com
Champaign-Urbana Alumnae,Alumnae,AOII.CU.Alumnae@gmail.com
Chicago City Alumnae,Alumnae,aoiichicagocity@hotmail.com
Chicago NW Suburban Alumnae,Alumnae,
Chicago South Suburban Alumnae,Alumnae,cssalumnae@yahoo.com
Chicago West Suburban Alumnae,Alumnae,cwsaoii@gmail.com
DeKalb-Kane Alumnae,Alumnae,teachniu@yahoo.com
Delta Rho – DePaul University,Collegiate,
Epsilon Iota – Eastern Illinois University,Collegiate - Closed,
Epsilon Sigma – Quincy University,Collegiate - Closed,
Gamma Iota – Southern Illinois University,Collegiate - Closed,
Iota – University of Illinois at Urbana-Champaign,Collegiate,
Lake County of Illinois Alumnae,Alumnae,aoiilakecounty@yahoo.com
Nu Iota – Northern Illinois University,Collegiate - Closed,
Phi Chi – University of Chicago,Collegiate,
Rho – Northwestern University,Collegiate - Closed,
Sigma Iota – Western Illinois University,Collegiate - Closed,
Beta Phi – Indiana University,Collegiate,
Beta Theta – Butler University,Collegiate - Closed,
Chi Lambda – University of Evansville,Collegiate,
Delta Xi – Rose-Hulman Institute of Technology,Collegiate,
Evansville Tri-State Alumnae,Alumnae,AOIItristatealum@gmail.com
Indianapolis Alumnae,Alumnae,aoiiindy@gmail.com
Kappa Alpha – Indiana State University,Collegiate,
Kappa Kappa – Ball State University,Collegiate,
Phi Omicron – Hanover College,Collegiate - Closed,
Phi Upsilon – Purdue University,Collegiate,
Theta – DePauw University,Collegiate - Closed,
Phi – University of Kansas,Collegiate - Closed,
Alpha Beta Tau – Thomas More College,Collegiate - Closed,
Alpha Chi – Western Kentucky University,Collegiate,
Beta Chi – Kentucky Wesleyan College,Collegiate,
Bowling Green Alumnae,Alumnae,bgaoiialum@gmail.com
Central Kentucky Bluegrass Alumnae,Alumnae,
Delta Omega – Murray State University,Collegiate,
Epsilon Omega – Eastern Kentucky University,Collegiate,
Kappa Omega – University of Kentucky,Collegiate - Closed,
Kentuckiana Alumnae Chapter,Alumnae,kentuckiana.aoii@gmail.com
Lexington Alumnae,Alumnae,aoiilexalumnae@gmail.com
Northern Kentucky/Cincinnati Area Alumnae,Alumnae,NKYCAOII.alumnae@gmail.com
Nu Omega – Northern Kentucky University,Collegiate,
Omega Xi – Morehead State University,Collegiate - Closed,
Pi Alpha – University of Louisville,Collegiate,
Tau Omega – Transylvania University,Collegiate,
Acadiana Alumnae,Alumnae,acadianaaoii@yahoo.com
Alpha Omicron – Louisiana State University,Collegiate - Closed,
Baton Rouge Alumnae,Alumnae,aoiibatonrouge@gmail.com
Chi Sigma – Centenary University,Collegiate - Closed,
Delta Beta – University of Louisiana at Lafayette,Collegiate,
Hammond Area Alumnae,Alumnae,aoii.haac@gmail.com
Kappa Chi – Northwestern State University,Collegiate,
Kappa Tau – Southeastern Louisiana University,Collegiate,
Lambda Tau – University of Louisiana Monroe,Collegiate,
Monroe Alumnae,Alumnae,
New Orleans Area Alumnae,Alumnae,noaacaoii@gmail.com
Pi – Tulane University,Collegiate - Closed,
Shreveport-Bossier City,Alumnae,aoiisbc@gmail.com
Boston Alumnae,Alumnae,bostonaoii@gmail.com
Chi Pi – Northeastern University,Collegiate - Closed,
Delta – Tufts University,Collegiate - Closed,
Baltimore Alumnae,Alumnae,aoiibaltimore@hotmail.com
Pi Delta – University of Maryland,Collegiate,
Sigma Tau – Washington College,Collegiate,
Suburban Maryland Alumnae,Alumnae,aoiismac@gmail.com
Theta Beta – Towson University,Collegiate,
Gamma – University of Maine,Collegiate,
Greater Portland Alumnae,Alumnae,ntlc@maine.rr.com
Beta Gamma – Michigan State University,Collegiate,
Beta Pi – Eastern Michigan University,Collegiate - Closed,
Dearborn Alumnae,Alumnae,aoii-alumnae-dearborn-mi@hotmail.com
Detroit North Suburban Alumnae,Alumnae,aoiidns@yahoo.com
Kalamazoo Area Alumnae,Alumnae,lesliemkatz@gmail.com
Kappa Rho – Western Michigan University,Collegiate,
Lambda Eta – Grand Valley State University,Collegiate,
Macomb County Alumnae,Alumnae,aoii.macomb.alum@gmail.com
Omicron Pi – University of Michigan,Collegiate - Closed,
Beta Epsilon – Bemidji State University,Collegiate - Closed,
Minneapolis/St. Paul Alumnae,Alumnae,minneapolisaoii@gmail.com
Tau – University of Minnesota,Collegiate,
Delta Alpha – University of Missouri,Collegiate - Closed,
Delta Gamma – Missouri State University,Collegiate,
Delta Kappa – Washington University in St. Louis,Collegiate - Closed,
Delta Pi – University of Central Missouri,Collegiate,
Greater Kansas City Alumnae,Alumnae,kcaopi@gmail.com
Lambda Omega – Northwest Missouri State University,Collegiate - Closed,
Mid-Missouri Alumnae,Alumnae,
St. Louis Alumnae,Alumnae,aoii_alumnae@yahoo.com
Upsilon Epsilon – St. Louis University,Collegiate - Closed,
Greater Jackson Alumnae,Alumnae,
Nu Beta – University of Mississippi,Collegiate,
Oxford Area,Alumnae,jennylee31@gmail.com
Alpha Phi – Montana State University,Collegiate,
Beta Rho – University of Montana,Collegiate - Closed,
Bozeman Alumnae,Alumnae,
Alpha Epsilon – Wingate University,Collegiate,
Charlotte Alumnae,Alumnae,
Delta Upsilon – Duke University,Collegiate - Closed,
Epsilon Chi – Elon University,Collegiate,
Greater Greenville Alumnae,Alumnae,greatergvl@hotmail.com
North Carolina Foothills Alumnae,Alumnae,rubynroses@gmail.com
Piedmont Alumnae Chapter of North Carolina,Alumnae,
Sigma Gamma – Appalachian State University,Collegiate,
Triangle Alumnae,Alumnae,triangleaoii@gmail.com
Zeta Psi – East Carolina University,Collegiate,
Kearney Alumnae,Alumnae,
Lincoln Alumnae,Alumnae,aoiilincolnalumchapter@gmail.com
Nu Zeta – Chadron State College,Collegiate - Closed,
Phi Sigma – University of Nebraska at Kearney,Collegiate,
Zeta – University of Nebraska-Lincoln,Collegiate,
New Hampshire Alumnae,Alumnae,nh.aoii.alumnae@gmail.com
Alpha Nu – Ramapo College of New Jersey,Collegiate,
Central New Jersey Alumnae,Alumnae,aoii.cnj@gmail.com
Gamma Phi – Seton Hall University,Collegiate,
Iota Theta – Monmouth University,Collegiate,
Jersey Shore Alumnae,Alumnae,sstory@scholastic.com
Northern NJ Alumnae,Alumnae,
Central New Mexico Alumnae,Alumnae,newmexicoaoii@gmail.com
"Delta Nu – University of Nevada, Reno",Collegiate,
Las Vegas Alumnae,Alumnae,aoiilasveges@gmail.com
Reno-Tahoe Alumnae,Alumnae,aoiirenotahoe@gmail.com
Alpha – Columbia University,Collegiate,
Buffalo Alumnae,Alumnae,kathleen.kinney@gmail.com
Chi – Syracuse University,Collegiate - Closed,
"Delta Psi – University of Albany, SUNY",Collegiate - Closed,
Epsilon – Cornell University,Collegiate - Closed,
Long Island Alumnae,Alumnae,lialumsaoii@gmail.com
New York City Area Alumnae,Alumnae,nycaoii.prez@gmail.com
Nu – New York University,Collegiate - Closed,
Nu Delta – Canisius College,Collegiate - Closed,
NY/NJ Metro Alumnae,Alumnae,
Psi Delta – Long Island University Post,Collegiate - Closed,
Rochester Alumnae,Alumnae,
Sigma Chi – Hartwick College,Collegiate - Closed,
Theta Pi – Wagner College,Collegiate,
Alpha Psi – Bowling Green State University,Collegiate,
Alpha Tau – Denison University,Collegiate - Closed,
Chi Epsilon – The Ohio State University,Collegiate - Closed,
Cleveland Area Alumnae,Alumnae,bhutch0074@yahoo.com
Columbus Alumnae,Alumnae,columbusaoii@yahoo.com
Dayton Alumnae,Alumnae,daytonaoii@yahoo.com
Kappa Delta – Wright State University,Collegiate,
Kappa Pi – Ohio Northern University,Collegiate - Closed,
Mahoning Valley Alumnae,Alumnae,scockrell824@gmail.com
Omega – Miami University,Collegiate,
Omega Upsilon – Ohio University,Collegiate,
Phi Lambda – Youngstown State University,Collegiate - Closed,
Theta Eta – University of Cincinnati,Collegiate - Closed,
Theta Psi – University of Toledo,Collegiate,
Toledo Area Alumnae,Alumnae,aoiitaac@gmail.com
Chi Omicron – University of Central Oklahoma,Collegiate - Closed,
Chi Theta – Northeastern State University,Collegiate,
Oklahoma City/Metro Area Alumnae,Alumnae,OKCAOIIAlumnae@gmail.com
Omega Sigma – Oklahoma State University,Collegiate,
Xi – University of Oklahoma,Collegiate,
Alpha Rho – Oregon State Unviersity,Collegiate,
Alpha Sigma – University of Oregon,Collegiate - Closed,
Portland Alumnae Chapter,Alumnae,aoiipacpresident@gmail.com
Rho Sigma – Portland State University,Collegiate - Closed,
Alpha Mu – Duquesne University,Collegiate,
Beta Delta – Villanova University,Collegiate - Closed,
Beta Eta – Gettysburg College,Collegiate,
Bucks County Alumnae,Alumnae,aoiibuckscounty@outlook.com
Epsilon Alpha – Pennsylvania State University,Collegiate,
Gamma Beta – Indiana University of Pennsylvania,Collegiate - Closed,
Greater Harrisburg Alumnae,Alumnae,
Lambda Upsilon – Lehigh University,Collegiate,
Phi Beta – East Stroudsburg University,Collegiate,
Philadelphia Alumnae,Alumnae,aoiiphilly@hotmail.com
Psi – University of Pennsylvania,Collegiate - Closed,
Sigma Beta – Saint Joseph’s University,Collegiate,
Sigma Rho – Slippery Rock University,Collegiate,
State College Alumnae,Alumnae,ext120@hotmail.com
Tau Lambda – Shippensburg University,Collegiate,
Theta Kappa – West Chester University,Collegiate - Closed,
Beta – Brown University,Collegiate - Closed,
Beta Upsilon – Bryant University,Collegiate,
Rhode Island Alumnae Chapter,Alumnae,
"Aiken, South Carolina Alumnae",Alumnae,
Charleston Alumnae,Alumnae,millerc843@aol.com
Chi Phi – University of South Carolina Aiken,Collegiate,
Delta Phi – University of South Carolina,Collegiate - Closed,
Chattanooga Area Alumnae,Alumnae,chattanoogaAOII@gmail.com
Kappa Omicron – Rhodes College,Collegiate,
Knoxville Alumnae,Alumnae,
Lambda Omicron – Cumberland University,Collegiate,
Memphis Area Alumnae,Alumnae,maacaoii@gmail.com
Nashville Area Alumnae,Alumnae,
Nu Omicron – Vanderbilt University,Collegiate - Closed,
Omega Omicron – Lambuth University,Collegiate - Closed,
"Omicron – University of Tennessee, Knoxville",Collegiate,
Phi Alpha – East Tennessee State University,Collegiate,
Pi Omicron – Austin Peay State University,Collegiate,
Rho Omicron – Middle Tennessee State University,Collegiate,
Tau Omicron – University of Tennessee at Martin,Collegiate,
Austin Alumnae,Alumnae,austinaoii@gmail.com
College Station Alumnae,Alumnae,bellabrooksaoii@gmail.com
Dallas Alumnae,Alumnae,admin@aoii-dallas.com
Delta Theta – Texas Woman’s University,Collegiate,
El Paso Alumnae,Alumnae,
Fort Worth Area,Alumnae,mixon.m28@gmail.com
Houston Alumnae,Alumnae,HOUSTONALUMNAEAOII@GMAIL.COM
Lambda Rho – Texas Christian University,Collegiate - Closed,
Nu Kappa – Southern Methodist University,Collegiate - Closed,
Pi Kappa – University of Texas at Austin,Collegiate - Closed,
Rho Alpha – University of Texas-Pan American,Collegiate - Closed,
San Antonio Alumnae,Alumnae,sanantonioaoii@gmail.com
Sigma Theta – Sam Houston State University,Collegiate,
Tau Mu – Texas A & M University,Collegiate,
Theta Sigma – Tarleton State University,Collegiate,
Upsilon Lambda – University of Texas at San Antonio,Collegiate,
Zeta Kappa – Texas State University,Collegiate - Closed,
Gamma Tau – Utah State University,Collegiate - Closed,
Chi Beta – University of Virginia,Collegiate - Closed,
Gamma Alpha – George Mason University,Collegiate,
Kappa – Randolph College,Collegiate - Closed,
Northern Virginia Alumnae,Alumnae,nova_aoii@novaaoii.org
Rho Beta – Virginia Commonwealth University,Collegiate,
Richmond Area Alumnae,Alumnae,richmondaoiialumnae@gmail.com
Virginia Tidewater Alumnae,Alumnae,sarahswaim@gmail.com
Western Potomac Area Alumnae,Alumnae,leakeg@msn.com
Williamsburg Alumnae,Alumnae,
Alpha Gamma – Washington State University,Collegiate,
Seattle Alumnae,Alumnae,
Tau Gamma – Eastern Washington University,Collegiate,
Upsilon – University of Washington,Collegiate - Closed,
Eta – University of Wisconsin,Collegiate - Closed,
Green Bay-Fox Cities Alumnae,Alumnae,
Iota Tau – University of Wisconsin-Stout,Collegiate - Closed,
Kappa Sigma – University of Wisconsin-River Falls,Collegiate,
Lambda Phi – University of Wisconsin-Whitewater,Collegiate - Closed,
Madison Area Alumnae,Alumnae,Deanna.fischer.785@gmail.com
Milwaukee Alumnae,Alumnae,
Phi Delta – University of Wisconsin-Milwaukee,Collegiate,
Sigma Lambda – University of Wisconsin-LaCrosse,Collegiate - Closed,
Sigma Sigma – St. Norbert College,Collegiate - Closed,
Phi Kappa – University of Charleston,Collegiate - Closed,
Sigma Alpha – West Virginia University,Collegiate,
