Chapter Name,Email
Sigma Chapter – University of Illinois,sigma.president@alphadeltapi.net
Theta Alpha Chapter – Northwest Missouri State University,thetaalpha.president@alphadeltapi.net
Theta Beta Chapter – Coastal Carolina University,thetabeta.president@alphadeltapi.net
Theta Chi Chapter – Charleston Southern University,thetachi.president@alphadeltapi.net
Theta Delta Chapter – University of Delaware,thetadelta.president@alphadeltapi.net
Theta Iota Chapter – Bucknell University,thetaiota.president@alphadeltapi.net
Theta Kappa Chapter – Florida Atlantic University,thetakappa.president@alphadeltapi.net
Theta Lambda Chapter – Franklin and Marshall College,thetalambda.president@alphadeltapi.net
Theta Mu Chapter – Loyola University,thetamu.president@alphadeltapi.net
"Theta Omega Chapter – University of California, Riverside",thetaomega.president@alphadeltapi.net
Theta Omicron Chapter – James Madison University,thetaomicron.president@alphadeltapi.net
Theta Phi Chapter – University of Louisiana at Lafayette,thetaphi.president@alphadeltapi.net
Theta Pi Chapter – Santa Clara Panhellenic,thetapi.president@alphadeltapi.net
Theta Rho Chapter – Sacred Heart University,thetarho.president@alphadeltapi.net
Theta Sigma Chapter – West Chester University,thetasigma.president@alphadeltapi.net
Theta Theta Chapter – Quinnipiac University,thetatheta.president@alphadeltapi.net
Theta Upsilon Chapter – Shorter University,thetaupsilon.president@alphadeltapi.net
Theta Zeta Chapter – Washington and Lee University,thetazeta.president@alphadeltapi.net
Upsilon Chapter – Washington State University,upsilon.president@alphadeltapi.net
Xi Chapter – Ohio University,xi.president@alphadeltapi.net
"Zeta Alpha Chapter – California State University, Fullerton",zetaalpha.president@alphadeltapi.net
Zeta Chapter – Southwestern University,zeta.president@alphadeltapi.net
Zeta Chi Chapter – Baylor University,zetachi.president@alphadeltapi.net
Zeta Delta Chapter – University of Montevallo,zetadelta.president@alphadeltapi.net
Zeta Epsilon Chapter – University of West Florida,zetaepsilon.president@alphadeltapi.net
"Zeta Gamma Chapter – University of North Carolina, Charlotte",zetagamma.president@alphadeltapi.net
Zeta Iota Chapter – Georgia College and State University,zetaiota.president@alphadeltapi.net
Zeta Lambda Chapter – Texas A and M University,zetalambda.president@alphadeltapi.net
Zeta Mu Chapter – Appalachian State University,zetamu.president@alphadeltapi.net
Zeta Omega Chapter – University of Central Florida,zetaomega.president@alphadeltapi.net
Zeta Omicron Chapter – Georgia Institute of Technology,zetaomicron.president@alphadeltapi.net
Zeta Phi Chapter – Francis Marion University,zetaphi.president@alphadeltapi.net
Zeta Pi Chapter – University of San Diego,zetapi.president@alphadeltapi.net
Zeta Rho Chapter – Vanderbilt University,zetarho.president@alphadeltapi.net
Zeta Sigma Chapter – College of Charleston,zetasigma.president@alphadeltapi.net
Zeta Tau Chapter – Winthrop University,zetatau.president@alphadeltapi.net
Zeta Theta Chapter – Illinois State University,zetatheta.president@alphadeltapi.net
Zeta Xi Chapter – University of Virginia,zetaxi.president@alphadeltapi.net
Zeta Zeta Chapter – Augusta University,zetazeta.president@alphadeltapi.net
Iota Epsilon Chapter – University of North Florida,iotaepsilon.president@alphadeltapi.net
Alpha Zeta Chapter – Southern Methodist University,alphazeta.president@alphadeltapi.net
